AlbumID,Album, J'ai
1,Astérix le Gaulois,Oui
2,La Serpe d’or,Oui
3,Astérix et les Goths,Oui
4,Astérix Gladiateur,Oui
5,Le Tour de Gaule d’Astérix,Oui
6,Astérix et Cléopâtre,Oui
7,Le Combat des chefs,Oui
8,Astérix chez les Bretons,Oui
9,Astérix et les Normands,Oui
10,Astérix légionnaire,Oui
11,Le Bouclier arverne,Oui
12,Astérix aux jeux Olympiques,Oui
13,Astérix et le chaudron,Oui
14,Astérix en Hispanie,Oui
15,La Zizanie,Oui
16,Astérix chez les Helvètes,Oui
17,Le Domaine des dieux,Oui
18,Les Lauriers de César,Oui
19,Le Devin,Oui
20,Astérix en Corse,Oui
21,Le Cadeau de César,Oui
22,La Grande Traversée,Oui
23,Obélix et Compagnie,Oui
24,Astérix chez les Belges,Oui
25,Le Grand Fossé,Oui
26,L’Odyssée d’Astérix,Oui
27,Le Fils d’Astérix,Oui
28,Astérix chez Rahazade,Oui
29,La Rose et le glaive,Oui
30,La Galère d’Obélix,Oui
31,Astérix et Latraviata,Oui
32,Astérix et la rentrée gauloise,Oui
33,Le Ciel lui tombe sur la tête,Oui
34,L’Anniversaire d’Astérix et Obélix - Le Livre d’or,Oui
35,Astérix chez les Pictes,Oui
36,Le papyrus de César,Oui
37,Astérix et la transitalique,Oui
38,La fille de Vercingétorix,Oui
39,Astérix et le Griffon,Oui
40,L'Iris Blanc,Oui
