Collection,AlbumID,Album,J'ai
Dupuis,1,La Mine d'or de Dick Digger,Oui
Dupuis,2,Rodéo,Oui
Dupuis,3,Arizona,
Dupuis,4,Sous le ciel de l'ouest,Oui
Dupuis,5,Lucky Luke contre Pat Pocker,Oui
Dupuis,6,Hors-la-loi,Oui
Dupuis,7,L'élixir du Docteur Doxey,Oui
Dupuis,8,Phil Defer,Oui
Dupuis,9,Des rails sur la prairie,Oui
Dupuis,10,Alerte aux Pieds-Bleus,Oui
Dupuis,11,Lucky Luke contre Joss Jamon,
Dupuis,12,Les cousins Dalton,Oui
Dupuis,13,Le Juge,Oui
Dupuis,14,Ruée sur l'Oklahoma,
Dupuis,15,L'Évasion des Dalton,
Dupuis,16,En remontant le Mississippi,
Dupuis,17,Sur la piste des Dalton,
Dupuis,18,À l'ombre des derricks,
Dupuis,19,Les Rivaux de Painful Gulch,
Dupuis,20,Billy the Kid,
Dupuis,21,Les Collines noires,
Dupuis,22,Les Dalton dans le blizzard,
Dupuis,23,Les Dalton courent toujours,
Dupuis,24,La Caravane,
Dupuis,25,La Ville fantôme,
Dupuis,26,Les Dalton se rachètent,
Dupuis,27,Le 20ème de cavalerie,
Dupuis,28,L'Escorte,
Dupuis,29,Des barbelés sur la prairie,
Dupuis,30,Calamity Jane,
Dupuis,31,Tortillas pour les Dalton,
,,,
Lucky Comics,1,La Diligence,Oui
Lucky Comics,2,Le Pied-Tendre,
Lucky Comics,3,Dalton City,Oui
Lucky Comics,4,Jesse James,
Lucky Comics,5,Western Circus,Oui
Lucky Comics,6,Canyon Apache,Oui
Lucky Comics,7,Ma Dalton,
Lucky Comics,8,Chasseur de primes,Oui
Lucky Comics,9,Le Grand Duc,
Lucky Comics,10,L'Héritage de Rantanplan,
Lucky Comics,11,7 histoires de Lucky Luke,
Lucky Comics,12,Le Cavalier blanc,
Lucky Comics,13,La Guérison des Dalton,
Lucky Comics,14,L'Empereur Smith,
Lucky Comics,15,Le Fil qui chante,Oui
Lucky Comics,16,Le Magot des Dalton,
Lucky Comics,17,Le Bandit manchot,
Lucky Comics,18,Sarah Bernhardt,
Lucky Comics,19,La Corde du pendu et autres histoires,
Lucky Comics,20,Daisy Town,
Lucky Comics,21,Fingers,
Lucky Comics,22,Le Daily Star,
Lucky Comics,23,La Fiancée de Lucky Luke,
Lucky Comics,24,La Ballade des Dalton et autres histoires,
Lucky Comics,25,Le Ranch maudit,
Lucky Comics,26,Nitroglycérine,
Lucky Comics,27,L'Alibi,
Lucky Comics,28,Le Pony Express,
Lucky Comics,29,L'Amnésie des Dalton,
Lucky Comics,30,Chasse aux fantômes,
Lucky Comics,31,Les Dalton à la noce,
Lucky Comics,32,Le Pont sur le Mississippi,
Lucky Comics,33,Kid Lucky,
Lucky Comics,34,Belle Starr,
Lucky Comics,35,Le Klondike,
Lucky Comics,36,O.K. Corral,
Lucky Comics,37,Oklahoma Jim,
Lucky Comics,38,Marcel Dalton,
Lucky Comics,39,Le Prophète,
Lucky Comics,40,L'Artiste-peintre,
Lucky Comics,41,La Légende de l'Ouest,Oui
,,,
Morris,1,La Belle Province,
Morris,2,La Corde au cou,
Morris,3,L'Homme de Washington,
Morris,4,Lucky Luke contre Pinkerton,Oui
Morris,5,Cavalier seul,
Morris,6,Les Tontons Dalton,
Morris,7,La Terre promise,Oui
Morris,8,Un cow-boy à Paris,
Morris,9,Un cow-boy dans le coton,
Morris,10,L'Arche de Rantanplan,Oui
Morris,11,Un cow-boy sous pression,
,,,
Kid Lucky,1,L'Apprenti cow-bow,
Kid Lucky,2,Lasso périlleux,
Kid Lucky,3,Statue Squaw,
Kid Lucky,4,Suivez la flèche,
Kid Lucky,5,Kid ou Double,
,,,
Dargaud - Hors Série,1,Histoire d'un dessin animé,
Dargaud - Hors Série,2,La ballade des Dalton,Oui
Lucky Productions - Hors Série,3.,Lucky Luke à 50 ans !,
Lucky Comics - Hors Série,4.,Le Cuisinier français,
Lucky Comics - Hors Série,5,Les Indomptés,Oui
